,City,Cloudiness,Country,Humidity,Temp,Lat,Lng,Wind_Speed
101,mar del plata,66,AR,20,66.22,-46.43,-67.52,32.61
102,vestmannaeyjar,100,IS,62,31.62,63.44,-20.27,49.21
103,huancavelica,82,PE,71,41.05,-12.79,-74.97,0.6
104,waipawa,17,NZ,43,71.01,-39.94,176.59,5.57
105,nioaque,100,BR,96,75.78,-21.16,-55.83,4.65
106,esperance,40,AU,88,71.6,-33.86,121.89,9.17
107,codrington,35,AU,48,84.2,-28.95,153.24,4.7
108,novyy urgal,98,RU,99,-10.16,51.07,132.56,1.07
109,kapaa,40,US,61,82.4,22.08,-159.32,23.04
110,westport,90,US,60,39.99,41.14,-73.36,9.17
111,cabedelo,40,BR,83,82.4,-6.97,-34.84,9.17
112,saint-philippe,90,CA,73,27.0,45.36,-73.48,3.36
113,lebu,87,ET,90,52.21,8.96,38.73,1.99
114,aksu,90,KZ,84,-2.2,52.04,76.93,3.51
115,cuenca,75,EC,82,60.8,-2.9,-79.0,9.17
116,narsaq,77,GL,78,10.4,60.91,-46.05,2.24
117,chuy,0,UY,61,65.97,-33.69,-53.46,7.92
118,praia,40,BR,65,80.6,-20.25,-43.81,4.7
119,constitucion,5,MX,15,68.0,23.99,-104.67,5.82
120,lerwick,85,GB,75,46.4,60.15,-1.15,38.03
121,alofi,75,NU,78,78.8,-19.06,-169.92,11.41
122,thompson,75,CA,75,-13.0,55.74,-97.86,5.82
123,nome,1,US,47,57.99,30.04,-94.42,3.36
124,samara,90,RU,92,19.4,53.2,50.11,4.47
125,paamiut,100,GL,76,14.59,61.99,-49.67,10.33
126,atbasar,97,KZ,96,5.72,51.81,68.36,2.28
127,nederland,1,US,33,57.2,29.97,-93.99,4.7
128,hermanus,0,ZA,94,66.99,-34.42,19.24,8.01
129,vilhena,40,BR,100,73.4,-12.74,-60.15,8.05
130,vurnary,19,RU,94,11.64,55.49,46.95,5.28
131,new norfolk,20,AU,42,81.0,-42.78,147.06,6.93
132,san francisco del mar,11,MX,61,74.32,16.34,-94.51,10.18
133,najran,0,SA,72,59.0,17.54,44.22,4.7
134,morris,1,US,77,8.6,45.59,-95.91,10.29
135,luderitz,74,NA,93,62.6,-26.65,15.16,6.93
136,ancud,90,CL,81,53.6,-41.87,-73.83,6.93
137,belaya gora,65,RU,84,-22.99,68.54,146.19,3.13
138,yenagoa,99,NG,79,77.9,4.92,6.26,4.18
139,anadyr,90,RU,76,-11.2,64.73,177.51,4.47
140,gizo,40,IL,57,51.8,31.8,34.94,17.22
141,mandera,80,ET,54,83.25,3.94,41.86,10.54
142,choix,65,MX,29,77.13,26.71,-108.33,6.76
143,deputatskiy,100,RU,93,-7.6,69.3,139.9,3.44
144,berlevag,75,NO,87,35.6,70.86,29.09,13.87
145,saskylakh,96,RU,97,-3.55,71.97,114.09,8.1
146,bethel,1,US,68,-14.8,60.79,-161.76,17.22
147,kaitangata,76,NZ,59,59.0,-46.28,169.85,11.01
148,barcelos,47,BR,60,80.98,-0.97,-62.93,2.46
149,buluang,90,PH,83,78.8,10.47,123.98,5.82
